scenario,year,status,model_technology,date_known,mean_mw,p10_mw,p50_mw,p90_mw
central,2026,announced,hydropower,known,6.32,0.0,0.0,0.0
central,2026,announced,hydropower,unknown,0.0,0.0,0.0,0.0
central,2026,announced,offshore wind,known,49.264,0.0,0.0,0.0
central,2026,announced,offshore wind,unknown,0.0,0.0,0.0,0.0
central,2026,announced,onshore wind,known,341.2333,40.0,198.9,596.4000000000001
central,2026,announced,onshore wind,unknown,0.0,0.0,0.0,0.0
central,2026,announced,utility-scale solar,known,1381.1702,532.36,1216.55,2500.1100000000006
central,2026,announced,utility-scale solar,unknown,0.0,0.0,0.0,0.0
central,2026,construction,hydropower,known,2050.554,289.8,1826.0,4040.2
central,2026,construction,hydropower,unknown,0.0,0.0,0.0,0.0
central,2026,construction,offshore wind,known,7385.589,5661.7,7435.5,9042.5
central,2026,construction,offshore wind,unknown,4056.955,2107.7,3878.0,6232.1
central,2026,construction,onshore wind,known,50543.2095,47292.78,50663.55,53421.94
central,2026,construction,onshore wind,unknown,71269.675,64010.81,70394.75,79993.55
central,2026,construction,utility-scale solar,known,85790.718,83617.95,85852.1,87927.82
central,2026,construction,utility-scale solar,unknown,164699.9188,155510.25,164793.1,173644.03
central,2026,pre-construction,hydropower,known,34.94,0.0,0.0,110.0
central,2026,pre-construction,hydropower,unknown,0.0,0.0,0.0,0.0
central,2026,pre-construction,offshore wind,known,307.426,0.0,240.0,811.0
central,2026,pre-construction,offshore wind,unknown,0.0,0.0,0.0,0.0
central,2026,pre-construction,onshore wind,known,5394.4083,3041.1099999999997,4907.4,8366.750000000002
central,2026,pre-construction,onshore wind,unknown,8.293299999999999,0.0,0.0,0.0
central,2026,pre-construction,utility-scale solar,known,25424.5561,21996.440000000002,25341.25,28823.18
central,2026,pre-construction,utility-scale solar,unknown,132.70479999999998,0.0,34.0,321.0000000000002
central,2027,announced,hydropower,known,60.542,0.0,0.0,146.6000000000006
central,2027,announced,hydropower,unknown,0.0,0.0,0.0,0.0
central,2027,announced,offshore wind,known,615.064,0.0,350.0,1797.0
central,2027,announced,offshore wind,unknown,0.0,0.0,0.0,0.0
central,2027,announced,onshore wind,known,2761.0139,1495.74,2315.25,5629.12
central,2027,announced,onshore wind,unknown,12.299,0.0,0.0,0.0
central,2027,announced,utility-scale solar,known,12559.615300000001,9936.11,12499.95,15307.44
central,2027,announced,utility-scale solar,unknown,76.6722,0.0,0.0,163.20000000000005
central,2027,construction,hydropower,known,12176.228,8720.3,12216.0,15579.1
central,2027,construction,hydropower,unknown,794.812,45.900000000000006,525.0,2100.0
central,2027,construction,offshore wind,known,7199.219,4617.9,7264.5,9668.1
central,2027,construction,offshore wind,unknown,19426.564,16608.15,19612.5,22194.05
central,2027,construction,onshore wind,known,20839.0756,17552.039999999997,20772.4,24077.54
central,2027,construction,onshore wind,unknown,96842.7319,87377.93,97125.5,105676.03
central,2027,construction,utility-scale solar,known,47040.2365,43661.46000000001,47222.65,50279.759999999995
central,2027,construction,utility-scale solar,unknown,132057.23559999999,122900.02,131950.05,141498.64
central,2027,pre-construction,hydropower,known,420.989,0.0,323.0,985.0
central,2027,pre-construction,hydropower,unknown,5.0,0.0,0.0,0.0
central,2027,pre-construction,offshore wind,known,2680.844,1362.0,2483.5,4284.3
central,2027,pre-construction,offshore wind,unknown,6.2755,0.0,0.0,0.0
central,2027,pre-construction,onshore wind,known,32585.5661,27431.420000000002,32494.05,37772.38
central,2027,pre-construction,onshore wind,unknown,9506.944800000001,6900.17,9105.400000000001,12390.44
central,2027,pre-construction,utility-scale solar,known,71354.2798,64285.0,71228.65,78176.69
central,2027,pre-construction,utility-scale solar,unknown,138227.8902,125654.58,137699.8,150725.97
central,2028,announced,hydropower,known,197.132,0.0,120.0,600.0
central,2028,announced,hydropower,unknown,4.44,0.0,0.0,0.0
central,2028,announced,offshore wind,known,1430.123,0.0,971.0,3327.5000000000005
central,2028,announced,offshore wind,unknown,0.5,0.0,0.0,0.0
central,2028,announced,onshore wind,known,7711.4092,5158.85,7206.95,11202.9
central,2028,announced,onshore wind,unknown,1542.2743,279.86,964.4,3440.25
central,2028,announced,utility-scale solar,known,24697.073800000002,19939.01,23816.85,30883.54
central,2028,announced,utility-scale solar,unknown,13505.9674,7478.55,12650.9,20390.11
central,2028,construction,hydropower,known,11294.34,7465.7,11114.0,15290.900000000001
central,2028,construction,hydropower,unknown,4949.53,2789.0,4906.0,7167.300000000001
central,2028,construction,offshore wind,known,1825.116,0.0,1372.0,4012.0
central,2028,construction,offshore wind,unknown,5073.206,2838.75,4923.5,7529.950000000001
central,2028,construction,onshore wind,known,8924.774800000001,7314.610000000001,9036.2,11171.019999999999
central,2028,construction,onshore wind,unknown,3795.8491,1677.6000000000001,2685.1499999999996,6874.01
central,2028,construction,utility-scale solar,known,19299.338,17133.47,18877.6,22346.190000000002
central,2028,construction,utility-scale solar,unknown,2797.7085,1723.8000000000002,2605.7,4018.2300000000005
central,2028,pre-construction,hydropower,known,1611.875,751.0,1514.5,2495.2000000000003
central,2028,pre-construction,hydropower,unknown,163.554,0.0,0.0,416.8000000000011
central,2028,pre-construction,offshore wind,known,7962.4265,4794.900000000001,7890.5,11232.2
central,2028,pre-construction,offshore wind,unknown,1928.1135,346.5,1636.1,3800.0
central,2028,pre-construction,onshore wind,known,33923.3253,28075.239999999998,33226.75,40963.58
central,2028,pre-construction,onshore wind,unknown,75447.1443,67483.79000000001,75111.95000000001,84106.44
central,2028,pre-construction,utility-scale solar,known,64621.0896,57153.95,64660.649999999994,71888.78
central,2028,pre-construction,utility-scale solar,unknown,420917.496,401225.02,421175.35,440412.43
central,2029,announced,hydropower,known,462.817,62.0,363.5,977.2
central,2029,announced,hydropower,unknown,97.021,0.0,0.0,36.900000000000205
central,2029,announced,offshore wind,known,2114.092,250.0,1885.5,4410.0
central,2029,announced,offshore wind,unknown,194.219,0.0,0.0,500.60000000000014
central,2029,announced,onshore wind,known,10776.642699999999,7181.65,10375.45,14763.970000000001
central,2029,announced,onshore wind,unknown,12181.3712,6802.139999999999,11270.25,17963.800000000003
central,2029,announced,utility-scale solar,known,30064.5593,20094.13,29351.25,41471.2
central,2029,announced,utility-scale solar,unknown,82019.4247,65850.53,80517.5,98992.79000000001
central,2029,construction,hydropower,known,8382.164,4151.9,8259.0,12576.4
central,2029,construction,hydropower,unknown,5696.939,3364.9,5609.0,7944.200000000001
central,2029,construction,offshore wind,known,0.0,0.0,0.0,0.0
central,2029,construction,offshore wind,unknown,55.3455,0.0,0.0,0.0
central,2029,construction,onshore wind,known,2885.3141,1589.88,2593.8,3525.6
central,2029,construction,onshore wind,unknown,0.0,0.0,0.0,0.0
central,2029,construction,utility-scale solar,known,3134.275,2448.0,3010.5,3917.8
central,2029,construction,utility-scale solar,unknown,0.0,0.0,0.0,0.0
central,2029,pre-construction,hydropower,known,3938.89,2012.4,3493.5,6648.5
central,2029,pre-construction,hydropower,unknown,1476.809,74.80000000000001,994.5,3436.9
central,2029,pre-construction,offshore wind,known,14428.493,9755.8,14307.75,19152.25
central,2029,pre-construction,offshore wind,unknown,16390.2799,10733.31,15686.8,23420.15
central,2029,pre-construction,onshore wind,known,33222.3514,24047.13,33148.15,42320.57
central,2029,pre-construction,onshore wind,unknown,151876.74490000002,140297.07,151724.4,164217.9
central,2029,pre-construction,utility-scale solar,known,32219.5887,25856.99,31264.0,40251.51
central,2029,pre-construction,utility-scale solar,unknown,179289.96469999998,164983.41999999998,178561.2,195017.25
central,2030,announced,hydropower,known,743.193,240.0,660.0,1367.3000000000002
central,2030,announced,hydropower,unknown,833.73,0.0,134.5,2577.5000000000005
central,2030,announced,offshore wind,known,2876.219,562.0,2529.0,5406.8
central,2030,announced,offshore wind,unknown,2225.38,0.0,1600.0,5492.500000000001
central,2030,announced,onshore wind,known,10325.6401,6645.530000000001,9972.5,14136.760000000002
central,2030,announced,onshore wind,unknown,32965.4289,23084.15,30760.25,45673.48
central,2030,announced,utility-scale solar,known,19251.1886,10528.550000000001,18054.800000000003,29853.960000000003
central,2030,announced,utility-scale solar,unknown,133044.7359,111460.31,130552.3,158962.51
central,2030,construction,hydropower,known,7357.849,3854.0,6907.0,11366.7
central,2030,construction,hydropower,unknown,2617.03,1203.3,2366.5,4478.200000000001
central,2030,construction,offshore wind,known,128.6,0.0,200.0,200.0
central,2030,construction,offshore wind,unknown,0.0,0.0,0.0,0.0
central,2030,construction,onshore wind,known,1796.5918000000001,650.0,1903.2,2997.0
central,2030,construction,onshore wind,unknown,0.0,0.0,0.0,0.0
central,2030,construction,utility-scale solar,known,5922.569,5154.0,5970.0,6556.6
central,2030,construction,utility-scale solar,unknown,0.0,0.0,0.0,0.0
central,2030,pre-construction,hydropower,known,5718.612,3125.2000000000003,5366.0,8775.300000000001
central,2030,pre-construction,hydropower,unknown,5154.896,1941.5,4599.5,8894.7
central,2030,pre-construction,offshore wind,known,20852.1955,15020.9,20678.25,26971.9
central,2030,pre-construction,offshore wind,unknown,41949.6097,32283.88,41354.05,52594.05
central,2030,pre-construction,onshore wind,known,27520.7095,17482.41,27506.9,38201.12
central,2030,pre-construction,onshore wind,unknown,131086.9547,118492.75,131076.95,143845.00999999998
central,2030,pre-construction,utility-scale solar,known,13615.471700000002,6541.42,14375.100000000002,19799.18
central,2030,pre-construction,utility-scale solar,unknown,13768.0826,10248.17,13025.7,18014.960000000003
